scientific_name,latitude,longitude,type,source,countryCode
Bactris gasipaes,10.246339,-73.739522,H,GBIF,COL
Bactris gasipaes,-12.706061,-73.779241,H,GBIF,PER
Bactris gasipaes,-0.87652,-77.722946,H,GBIF,ECU
Bactris gasipaes,-0.771853,-77.773241,H,GBIF,ECU
Bactris gasipaes,-3.647588,-79.555022,H,GBIF,ECU
Bactris gasipaes,-0.77246,-77.774913,H,GBIF,ECU
Bactris gasipaes,-1.044826,-77.757985,H,GBIF,ECU
Bactris gasipaes,-0.875773,-77.725301,H,GBIF,ECU
Bactris gasipaes,-0.945913,-77.830458,H,GBIF,ECU
Bactris gasipaes,-1.050585,-77.691283,H,GBIF,ECU
Bactris gasipaes,0.481124,-79.184665,H,GBIF,ECU
Bactris gasipaes,0.182348,-77.240515,H,GBIF,ECU
Bactris gasipaes,-0.96035,-77.881902,H,GBIF,ECU
Bactris gasipaes,-3.54192,-78.645929,H,GBIF,ECU
Bactris gasipaes,-3.600535,-78.54703,H,GBIF,ECU
Bactris gasipaes,-0.270421,-79.54175,H,GBIF,ECU
Bactris gasipaes,-0.121864,-80.127578,H,GBIF,ECU
Bactris gasipaes,-0.118023,-80.129768,H,GBIF,ECU
Bactris gasipaes,-1.047602,-77.667039,H,GBIF,ECU
Bactris gasipaes,-0.407613,-77.000336,H,GBIF,ECU
Bactris gasipaes,-3.55085,-78.661732,H,GBIF,ECU
Bactris gasipaes,-3.636386,-78.563652,H,GBIF,ECU
Bactris gasipaes,-1.064489,-77.639228,H,GBIF,ECU
Bactris gasipaes,-1.505454,-78.072879,H,GBIF,ECU
Bactris gasipaes,-0.964613,-77.889817,H,GBIF,ECU
Bactris gasipaes,-3.583702,-78.51586,H,GBIF,ECU
Bactris gasipaes,-4.082008,-78.967061,H,GBIF,ECU
Bactris gasipaes,-3.610603,-78.52858,H,GBIF,ECU
Bactris gasipaes,-0.994516,-77.818618,H,GBIF,ECU
Bactris gasipaes,-0.994514,-77.818786,H,GBIF,ECU
Bactris gasipaes,-3.550967,-78.661647,H,GBIF,ECU
Bactris gasipaes,-3.659147,-78.495568,H,GBIF,ECU
Bactris gasipaes,-0.950944,-77.859242,H,GBIF,ECU
Bactris gasipaes,0.16267,-79.064007,H,GBIF,ECU
Bactris gasipaes,-0.735573,-76.887994,H,GBIF,ECU
Bactris gasipaes,-0.315329,-78.95866,H,GBIF,ECU
Bactris gasipaes,-0.321441,-78.951614,H,GBIF,ECU
Bactris gasipaes,-0.694161,-77.730436,H,GBIF,ECU
Bactris gasipaes,-1.068823,-80.886806,H,GBIF,ECU
Bactris gasipaes,-0.439986,-80.348797,H,GBIF,ECU
Bactris gasipaes,-3.628209,-78.580953,H,GBIF,ECU
Bactris gasipaes,-0.985972,-77.810583,H,GBIF,ECU
Bactris gasipaes,-3.337762,-79.739288,H,GBIF,ECU
Bactris gasipaes,0.249163,-79.540765,H,GBIF,ECU
Bactris gasipaes,-0.995596,-77.812968,H,GBIF,ECU
Bactris gasipaes,-0.992607,-77.817595,H,GBIF,ECU
Bactris gasipaes,0.154742,-79.224393,H,GBIF,ECU
Bactris gasipaes,0.137791,-76.275639,H,GBIF,ECU
Bactris gasipaes,0.131287,-78.676438,H,GBIF,ECU
