"","scientific_name","latitude","longitude","type","source","countryCode"
"267","Bactris gasipaes",-0.23,-79.15,"H","GBIF","ECU"
"268","Bactris gasipaes",-0.23,-79.15,"H","GBIF","ECU"
"269","Bactris gasipaes",-0.23,-79.15,"H","GBIF","ECU"
"270","Bactris gasipaes",-0.23,-79.15,"H","GBIF","ECU"
"271","Bactris gasipaes",-0.23,-79.15,"H","GBIF","ECU"
"272","Bactris gasipaes",-0.23,-79.15,"H","GBIF","ECU"
"273","Bactris gasipaes",-0.23,-79.15,"H","GBIF","ECU"
"274","Bactris gasipaes",-0.23,-79.15,"H","GBIF","ECU"
"275","Bactris gasipaes",-0.23,-79.15,"H","GBIF","ECU"
"276","Bactris gasipaes",-0.23,-79.15,"H","GBIF","ECU"
"277","Bactris gasipaes",-0.23,-79.15,"H","GBIF","ECU"
"278","Bactris gasipaes",-0.23,-79.15,"H","GBIF","ECU"
"279","Bactris gasipaes",-0.23,-79.15,"H","GBIF","ECU"
"280","Bactris gasipaes",-0.23,-79.15,"H","GBIF","ECU"
"281","Bactris gasipaes",-0.23,-79.15,"H","GBIF","ECU"
"282","Bactris gasipaes",-0.23,-79.15,"H","GBIF","ECU"
"283","Bactris gasipaes",-0.23,-79.15,"H","GBIF","ECU"
"284","Bactris gasipaes",-0.23,-79.15,"H","GBIF","ECU"
"285","Bactris gasipaes",-0.23,-79.15,"H","GBIF","ECU"
"286","Bactris gasipaes",-0.23,-79.15,"H","GBIF","ECU"
"287","Bactris gasipaes",-0.23,-79.15,"H","GBIF","ECU"
"288","Bactris gasipaes",-0.23,-79.15,"H","GBIF","ECU"
"289","Bactris gasipaes",-0.23,-79.15,"H","GBIF","ECU"
"290","Bactris gasipaes",-0.23,-79.15,"H","GBIF","ECU"
"291","Bactris gasipaes",-0.23,-79.15,"H","GBIF","ECU"
"292","Bactris gasipaes",-0.23,-79.15,"H","GBIF","ECU"
"293","Bactris gasipaes",-0.23,-79.15,"H","GBIF","ECU"
"294","Bactris gasipaes",-0.23,-79.15,"H","GBIF","ECU"
"295","Bactris gasipaes",-0.23,-79.15,"H","GBIF","ECU"
"296","Bactris gasipaes",-0.3,-79.05,"H","GBIF","ECU"
"297","Bactris gasipaes",-0.3,-79.05,"H","GBIF","ECU"
"298","Bactris gasipaes",-0.3,-79.05,"H","GBIF","ECU"
"299","Bactris gasipaes",-0.3,-79.05,"H","GBIF","ECU"
"300","Bactris gasipaes",-0.3,-79.05,"H","GBIF","ECU"
"301","Bactris gasipaes",-0.3,-79.05,"H","GBIF","ECU"
"302","Bactris gasipaes",-0.3,-79.05,"H","GBIF","ECU"
"303","Bactris gasipaes",-0.3,-79.05,"H","GBIF","ECU"
"304","Bactris gasipaes",-0.3,-79.05,"H","GBIF","ECU"
"305","Bactris gasipaes",-0.3,-79.05,"H","GBIF","ECU"
"306","Bactris gasipaes",-0.3,-79.05,"H","GBIF","ECU"
"307","Bactris gasipaes",-0.3,-79.05,"H","GBIF","ECU"
"308","Bactris gasipaes",-0.3,-79.04,"H","GBIF","ECU"
"309","Bactris gasipaes",-0.3,-79.04,"H","GBIF","ECU"
"310","Bactris gasipaes",-0.3,-79.04,"H","GBIF","ECU"
"311","Bactris gasipaes",-0.3,-79.04,"H","GBIF","ECU"
"312","Bactris gasipaes",-0.3,-79.04,"H","GBIF","ECU"
"313","Bactris gasipaes",-0.3,-79.04,"H","GBIF","ECU"
"314","Bactris gasipaes",-0.3,-79.04,"H","GBIF","ECU"
"315","Bactris gasipaes",-0.3,-79.04,"H","GBIF","ECU"
"316","Bactris gasipaes",-0.3,-79.04,"H","GBIF","ECU"
"317","Bactris gasipaes",-0.3,-79.04,"H","GBIF","ECU"
"318","Bactris gasipaes",-0.3,-79.04,"H","GBIF","ECU"
"319","Bactris gasipaes",-0.3,-79.04,"H","GBIF","ECU"
"320","Bactris gasipaes",-0.3,-79.04,"H","GBIF","ECU"
"321","Bactris gasipaes",-0.3,-79.04,"H","GBIF","ECU"
"322","Bactris gasipaes",-0.3,-79.04,"H","GBIF","ECU"
"323","Bactris gasipaes",-0.3,-79.04,"H","GBIF","ECU"
"324","Bactris gasipaes",-0.3,-79.04,"H","GBIF","ECU"
"325","Bactris gasipaes",-0.3,-79.04,"H","GBIF","ECU"
"326","Bactris gasipaes",-0.3,-79.04,"H","GBIF","ECU"
"327","Bactris gasipaes",-0.3,-79.04,"H","GBIF","ECU"
"328","Bactris gasipaes",-0.3,-79.04,"H","GBIF","ECU"
"329","Bactris gasipaes",-0.3,-79.04,"H","GBIF","ECU"
"330","Bactris gasipaes",-0.3,-79.04,"H","GBIF","ECU"
"331","Bactris gasipaes",-0.3,-79.04,"H","GBIF","ECU"
"332","Bactris gasipaes",-0.3,-79.04,"H","GBIF","ECU"
"333","Bactris gasipaes",-0.3,-79.04,"H","GBIF","ECU"
"334","Bactris gasipaes",-0.3,-79.04,"H","GBIF","ECU"
"335","Bactris gasipaes",-0.3,-79.04,"H","GBIF","ECU"
"336","Bactris gasipaes",-0.3,-79.04,"H","GBIF","ECU"
"337","Bactris gasipaes",-0.3,-79.04,"H","GBIF","ECU"
"338","Bactris gasipaes",-0.3,-79.04,"H","GBIF","ECU"
"339","Bactris gasipaes",-0.3,-79.04,"H","GBIF","ECU"
"340","Bactris gasipaes",-0.3,-79.04,"H","GBIF","ECU"
"341","Bactris gasipaes",-0.3,-79.04,"H","GBIF","ECU"
"342","Bactris gasipaes",-0.3,-79.04,"H","GBIF","ECU"
"343","Bactris gasipaes",-0.3,-79.04,"H","GBIF","ECU"
"344","Bactris gasipaes",-0.3,-79.04,"H","GBIF","ECU"
"345","Bactris gasipaes",-0.3,-79.04,"H","GBIF","ECU"
"346","Bactris gasipaes",-0.3,-79.04,"H","GBIF","ECU"
"347","Bactris gasipaes",-0.3,-79.05,"H","GBIF","ECU"
"348","Bactris gasipaes",-0.3,-79.05,"H","GBIF","ECU"
"349","Bactris gasipaes",-0.3,-79.05,"H","GBIF","ECU"
"350","Bactris gasipaes",-0.3,-79.05,"H","GBIF","ECU"
"351","Bactris gasipaes",-0.3,-79.05,"H","GBIF","ECU"
"352","Bactris gasipaes",-0.01,-79.39,"H","GBIF","ECU"
"353","Bactris gasipaes",-0.01,-79.39,"H","GBIF","ECU"
"354","Bactris gasipaes",-0.01,-79.39,"H","GBIF","ECU"
"355","Bactris gasipaes",-0.01,-79.39,"H","GBIF","ECU"
"356","Bactris gasipaes",-0.01,-79.39,"H","GBIF","ECU"
"357","Bactris gasipaes",-0.01,-79.39,"H","GBIF","ECU"
"358","Bactris gasipaes",-0.01,-79.39,"H","GBIF","ECU"
"359","Bactris gasipaes",-0.01,-79.39,"H","GBIF","ECU"
"360","Bactris gasipaes",-0.01,-79.39,"H","GBIF","ECU"
"361","Bactris gasipaes",-0.01,-79.39,"H","GBIF","ECU"
"362","Bactris gasipaes",-0.01,-79.39,"H","GBIF","ECU"
"363","Bactris gasipaes",-0.01,-79.39,"H","GBIF","ECU"
"364","Bactris gasipaes",-0.01,-79.39,"H","GBIF","ECU"
"365","Bactris gasipaes",-0.01,-79.39,"H","GBIF","ECU"
"366","Bactris gasipaes",-0.01,-79.39,"H","GBIF","ECU"
"367","Bactris gasipaes",-0.01,-79.39,"H","GBIF","ECU"
"368","Bactris gasipaes",-0.01,-79.39,"H","GBIF","ECU"
"369","Bactris gasipaes",-0.01,-79.39,"H","GBIF","ECU"
"370","Bactris gasipaes",-0.01,-79.39,"H","GBIF","ECU"
"371","Bactris gasipaes",-0.01,-79.39,"H","GBIF","ECU"
"372","Bactris gasipaes",-0.01,-79.39,"H","GBIF","ECU"
"373","Bactris gasipaes",-0.01,-79.39,"H","GBIF","ECU"
