scientific_name,latitude,longitude
Bactris gasipaes,-0.27,-79.13
Bactris gasipaes,-0.27,-79.13
Bactris gasipaes,-0.27,-79.13
Bactris gasipaes,-0.27,-79.13
Bactris gasipaes,-0.27,-79.13
Bactris gasipaes,-0.28,-79.13
Bactris gasipaes,-0.23,-79.15
Bactris gasipaes,-0.23,-79.15
Bactris gasipaes,-0.23,-79.15
Bactris gasipaes,-0.23,-79.15
Bactris gasipaes,-0.23,-79.15
Bactris gasipaes,-0.23,-79.15
Bactris gasipaes,-0.23,-79.15
Bactris gasipaes,-0.23,-79.15
Bactris gasipaes,-0.23,-79.15
Bactris gasipaes,-0.23,-79.15
Bactris gasipaes,-0.23,-79.15
Bactris gasipaes,-0.23,-79.15
Bactris gasipaes,-0.23,-79.15
Bactris gasipaes,-0.23,-79.15
Bactris gasipaes,-0.23,-79.15
Bactris gasipaes,-0.23,-79.15
Bactris gasipaes,-0.23,-79.15
Bactris gasipaes,-0.23,-79.15
Bactris gasipaes,-0.23,-79.15
Bactris gasipaes,-0.23,-79.15
Bactris gasipaes,-0.23,-79.15
Bactris gasipaes,-0.23,-79.15
Bactris gasipaes,-0.23,-79.15
Bactris gasipaes,-0.23,-79.15
Bactris gasipaes,-0.23,-79.15
Bactris gasipaes,-0.23,-79.15
Bactris gasipaes,-0.23,-79.15
Bactris gasipaes,-0.23,-79.15
Bactris gasipaes,-0.23,-79.15
Bactris gasipaes,-0.23,-79.15
Bactris gasipaes,-0.23,-79.15
Bactris gasipaes,-0.23,-79.15
Bactris gasipaes,-0.23,-79.15
Bactris gasipaes,-0.23,-79.15
Bactris gasipaes,-0.23,-79.15
Bactris gasipaes,-0.23,-79.15
Bactris gasipaes,-0.23,-79.15
Bactris gasipaes,-0.23,-79.15
Bactris gasipaes,-0.23,-79.15
Bactris gasipaes,-0.23,-79.15
Bactris gasipaes,-0.23,-79.15
Bactris gasipaes,-0.23,-79.15
Bactris gasipaes,-0.23,-79.15
Bactris gasipaes,-0.23,-79.15
Bactris gasipaes,-0.23,-79.15
Bactris gasipaes,-0.3,-79.05
Bactris gasipaes,-0.3,-79.05
Bactris gasipaes,-0.3,-79.05
Bactris gasipaes,-0.3,-79.05
Bactris gasipaes,-0.3,-79.05
Bactris gasipaes,-0.3,-79.05
Bactris gasipaes,-0.3,-79.05
Bactris gasipaes,-0.3,-79.05
Bactris gasipaes,-0.3,-79.05
Bactris gasipaes,-0.3,-79.05
Bactris gasipaes,-0.3,-79.05
Bactris gasipaes,-0.3,-79.05
Bactris gasipaes,-0.3,-79.04
Bactris gasipaes,-0.3,-79.04
Bactris gasipaes,-0.3,-79.04
Bactris gasipaes,-0.3,-79.04
Bactris gasipaes,-0.3,-79.04
Bactris gasipaes,-0.3,-79.04
Bactris gasipaes,-0.3,-79.04
Bactris gasipaes,-0.3,-79.04
Bactris gasipaes,-0.3,-79.04
Bactris gasipaes,-0.3,-79.04
Bactris gasipaes,-0.3,-79.04
Bactris gasipaes,-0.3,-79.04
Bactris gasipaes,-0.3,-79.04
Bactris gasipaes,-0.3,-79.04
Bactris gasipaes,-0.3,-79.04
Bactris gasipaes,-0.3,-79.04
Bactris gasipaes,-0.3,-79.04
